Started analysis of INCOV032-BL_R2_trimmed.fq.gz
Approx 5% complete for INCOV032-BL_R2_trimmed.fq.gz
Approx 10% complete for INCOV032-BL_R2_trimmed.fq.gz
Approx 15% complete for INCOV032-BL_R2_trimmed.fq.gz
Approx 20% complete for INCOV032-BL_R2_trimmed.fq.gz
Approx 25% complete for INCOV032-BL_R2_trimmed.fq.gz
Approx 30% complete for INCOV032-BL_R2_trimmed.fq.gz
Approx 35% complete for INCOV032-BL_R2_trimmed.fq.gz
Approx 40% complete for INCOV032-BL_R2_trimmed.fq.gz
Approx 45% complete for INCOV032-BL_R2_trimmed.fq.gz
Approx 50% complete for INCOV032-BL_R2_trimmed.fq.gz
Approx 55% complete for INCOV032-BL_R2_trimmed.fq.gz
Approx 60% complete for INCOV032-BL_R2_trimmed.fq.gz
Approx 65% complete for INCOV032-BL_R2_trimmed.fq.gz
Approx 70% complete for INCOV032-BL_R2_trimmed.fq.gz
Approx 75% complete for INCOV032-BL_R2_trimmed.fq.gz
Approx 80% complete for INCOV032-BL_R2_trimmed.fq.gz
Approx 85% complete for INCOV032-BL_R2_trimmed.fq.gz
Approx 90% complete for INCOV032-BL_R2_trimmed.fq.gz
Approx 95% complete for INCOV032-BL_R2_trimmed.fq.gz
